OID_,CBG,PlusCode,DestinationID,Total_TravelTime,Total_Kilometers
127,470930001001,"PJ9J+7H Loudon, Tennessee",131,36.84096131,56.89037212
128,470930001001,"2MP9+HM Oliver Springs, Tennessee",92,37.16369357,46.51742005
129,470930001001,"VGP3+78 Kingston, Tennessee",124,37.65682381,59.25227268
130,470930001001,"VF72+93 Sevierville, Tennessee",96,37.77061075,48.67564103
131,470930001001,"PJCV+PG Loudon, Tennessee",128,38.26595477,58.27041876
132,470930001001,"8RPG+XG Jacksboro, Tennessee",136,38.43361363,56.19662818
133,470930001001,"8RWR+WH LaFollette, Tennessee",126,39.50289817,57.25842403
134,470930001001,"9R3V+3C LaFollette, Tennessee",140,40.48844865,58.17868592
135,470930001001,"VCRX+RP Harriman, Tennessee",81,40.56716373,62.81649268
136,470930001001,"9V87+JP LaFollette, Tennessee",121,42.67573404,60.47684777
137,470930001001,"VGJQ+PQ Sevierville, Tennessee",114,45.14144557,56.97437289
138,470930001001,"RC3F+2F Pigeon Forge, Tennessee",125,45.22867924,54.0802454
139,470930001001,"9VJM+VG LaFollette, Tennessee",129,45.916973,63.23046767
140,470930001001,"MP76+2C Loudon, Tennessee",18,47.41128698,69.84878858
141,470930001001,"QCMX+MP Pigeon Forge, Tennessee",130,49.18584377,59.1755479
142,470930001001,"QFG4+V6 Pigeon Forge, Tennessee",137,49.87116212,59.67948182
143,470930008001,"W3MV+W7 Knoxville, Tennessee",41,5.362136394,3.46472003
144,470930008001,"W3MV+39 Knoxville, Tennessee",53,6.279616401,3.770818623
145,470930008001,"W3MV+39 Knoxville, Tennessee",63,6.279616401,3.770818623
146,470930008001,"X3HV+HG Knoxville, Tennessee",60,6.912569381,4.569096542
147,470930008001,"X3JC+HQ Knoxville, Tennessee",74,8.58419681,7.900705635
148,470930008001,"X384+FG Knoxville, Tennessee",65,8.710297064,8.140274391
149,470930008001,"X3RH+94 Knoxville, Tennessee",91,9.204288264,6.628569566
150,470930008001,"X3VH+69 Knoxville, Tennessee",75,9.822340654,6.977012406
151,470930008001,"W3X6+X5 Knoxville, Tennessee",49,10.55951923,8.252777775
152,470930008001,"X4XF+C6 Knoxville, Tennessee",82,10.65121821,11.81885978
153,470930008001,"243P+M4 Knoxville, Tennessee",77,11.56599709,12.98875958
154,470930008001,"223F+WV Knoxville, Tennessee",101,11.68065655,12.61886324
155,470930008001,"24MJ+RQ Knoxville, Tennessee",104,12.27461009,14.8113897
156,470930008001,"228J+54 Knoxville, Tennessee",100,12.5987331,13.17909892
157,470930008001,"W536+GW Knoxville, Tennessee",44,12.78671383,11.02822461
158,470930008001,"236G+RW Knoxville, Tennessee",109,12.86888265,9.211068601
159,470930008001,"24PJ+H8 Knoxville, Tennessee",103,12.93460396,14.96701457
160,470930008001,"V3Q7+MM Knoxville, Tennessee",54,12.99516597,10.12164278
161,470930008001,"W2RC+PJ Knoxville, Tennessee",46,13.22102277,11.45634568
162,470930008001,"238H+38 Knoxville, Tennessee",107,13.42240533,14.87024069
163,470930008001,"W564+JF Knoxville, Tennessee",42,13.45004563,10.4281992
164,470930008001,"W564+JF Knoxville, Tennessee",61,13.45004563,10.4281992
