,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng,geometry,sg_unpack_idx,customer_PlusCode,customer_Title,placekey,safegraph_place_id,latitude,longitude,open_hours,poi_cbg,visitor_home_cbg,cbg_visitor_name
10,"X3VH+69 Knoxville, Tennessee",1,"470930015001 - X3VH+69 Knoxville, Tennessee",1,1,470930015001,,,,,0.0,2.20992984481,0.0,1.18063479356,0.0,0.0,0.0,0.0,1458.00633047,"LINESTRING (2580997.566820729 609921.5967680152, 2581164.126822513 610094.7865285374, 2581284.897529379 609980.8305376292, 2581426.681108883 609852.7557157828, 2581481.074939047 609799.2922209332, 2581529.399449087 609752.9826348692, 2581556.558121338 609728.0705572696, 2581692.351365209 609603.5112592061, 2581958.33493092 609339.7118882561, 2582948.337946356 610514.9132564119, 2583112.747688964 610715.019053788, 2583215.973843093 610870.1340703605, 2583264.783533561 610940.3501082879, 2583441.095792581 611137.0697029174, 2583534.340183341 610963.3676440887)",53,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930015001,11.0
11,"X3VH+69 Knoxville, Tennessee",1,"470930015002 - X3VH+69 Knoxville, Tennessee",1,1,470930015002,,,,,0.0,2.66861336096,0.0,1.50804388949,0.0,0.0,0.0,0.0,1862.93078881,"LINESTRING (2580474.74269547 612339.7470792122, 2580812.864762069 612432.1690694639, 2580663.597418024 612774.9086988909, 2581025.503838567 612869.9499013043, 2581751.881307364 613078.3057675986, 2582137.207497846 613184.7804154062, 2582228.294662626 612935.4811151975, 2582291.300474745 612754.7660072915, 2582498.838970627 612176.6040538331, 2582608.626342057 612022.369182141, 2582957.792217762 611742.1387305041, 2583048.061408706 611671.2346163577, 2583066.192676896 611653.4146107138, 2583205.482694771 611503.4493920733, 2583330.68232036 611320.4161603106, 2583379.780549328 611237.7156267408, 2583441.095792581 611137.0697029174, 2583534.340183341 610963.3676440887)",73,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930015002,5.0
12,"X3JC+HQ Knoxville, Tennessee",1,"470930015003 - X3JC+HQ Knoxville, Tennessee",2,2,470930015003,,,,,0.0,2.90991528803,0.0,1.56768266112,0.0,0.0,0.0,0.0,1939.7945921,"LINESTRING (2577594.20601207 609178.3735546222, 2577877.933656011 609475.6257180683, 2578140.388600556 609237.204594803, 2578381.8368194 609012.9073896994, 2578825.21871108 608614.4594775965, 2579072.823267342 608379.3745512958, 2579115.076931651 608340.2148040014, 2580026.47933497 607500.1762397082, 2580165.310700936 607372.0331149424, 2580279.94194703 607268.8661348445, 2580412.705774702 607147.8779502341, 2580530.450348143 607037.4959063596, 2580596.833300131 606977.0024085334, 2580832.172151317 606763.5187078069, 2580883.766398169 606702.7129695764, 2580959.640801526 606613.2929934938, 2580999.095546206 606566.7946649761, 2581041.585700294 606516.7194410447, 2581087.18776616 606459.4283597755, 2581178.161366783 606355.764263308, 2581238.708169216 606291.507651414, 2581299.332274637 606223.6117803034, 2581306.322570284 606228.4868460788)",,,,,,,,,,,
13,"238H+38 Knoxville, Tennessee",1,"470930016001 - 238H+38 Knoxville, Tennessee",2,2,470930016001,,,,,0.0,1.05397485009,0.0,0.652977406766,0.0,0.0,0.0,0.0,814.070190688,"LINESTRING (2583437.716672368 616716.1850813631, 2583545.221652725 616957.6495695674, 2583581.358507684 617206.0080173174, 2583521.208271726 617809.1422188974, 2583433.812223131 618302.466324689, 2583227.821292209 618669.4756506762, 2583166.96548842 618762.1613984645)",,,,,,,,,,,
14,"X3VH+69 Knoxville, Tennessee",1,"470930016002 - X3VH+69 Knoxville, Tennessee",1,1,470930016002,,,,,0.0,2.24291495122,0.0,1.22886375562,0.0,0.0,0.0,0.0,1517.61938444,"LINESTRING (2583916.207214994 613768.526602217, 2583815.619994111 613701.0305318653, 2583736.857172862 613648.3816743735, 2583342.806034348 613396.0590499911, 2582924.063568327 613052.1918728491, 2582616.687043709 612758.0271412964, 2582348.006313156 612592.1225091127, 2582373.209219427 612519.8365176213, 2582498.838970627 612176.6040538331, 2582608.626342057 612022.369182141, 2582957.792217762 611742.1387305041, 2583048.061408706 611671.2346163577, 2583066.192676896 611653.4146107138, 2583205.482694771 611503.4493920733, 2583330.68232036 611320.4161603106, 2583379.780549328 611237.7156267408, 2583441.095792581 611137.0697029174, 2583534.340183341 610963.3676440887)",55,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930016002,9.0
15,"X3VH+69 Knoxville, Tennessee",1,"470930017001 - X3VH+69 Knoxville, Tennessee",1,1,470930017001,,,,,0.0,1.74172040809,0.0,0.764420035686,0.0,0.0,0.0,0.0,941.806958725,"LINESTRING (2585267.971344298 611874.686241737, 2584866.116687335 611607.944375531, 2584676.167533654 611913.38728737, 2584375.654870298 611714.017066563, 2584074.751345861 611532.8466157329, 2583779.681478562 611355.4444301099, 2583636.465334555 611272.2977376134, 2583441.095792581 611137.0697029174, 2583534.340183341 610963.3676440887)",47,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930017001,23.0
16,"X3RH+94 Knoxville, Tennessee",1,"470930017002 - X3RH+94 Knoxville, Tennessee",1,2,470930017002,,,,,0.0,2.33661012886,0.0,1.08601048444,0.0,0.0,0.0,0.0,1340.19134678,"LINESTRING (2586304.817148575 609599.5518225469, 2586284.451033348 609617.4105637154, 2586076.651225319 609926.1045695522, 2585766.555169045 609759.2849894543, 2585594.175813874 610072.3791004332, 2585418.92001677 610381.7716918959, 2585243.822937843 610683.8864746239, 2584942.835899774 610506.346567553, 2584647.605493058 610336.2145368253, 2584030.902678176 609977.1963175501, 2583896.475859797 609897.876771876, 2583765.006251872 609818.620523043, 2583765.568375879 609846.1731068154)",,,,,,,,,,,
17,"X4XF+C6 Knoxville, Tennessee",1,"470930018001 - X4XF+C6 Knoxville, Tennessee",2,2,470930018001,,,,,0.0,4.8671735517,0.0,2.55947063991,0.0,0.0,0.0,0.0,3159.27742486,"LINESTRING (2592445.560638977 614423.4551321688, 2593147.049322382 614800.2649530029, 2593338.171385046 614443.9258533826, 2593442.773055092 614395.2094354606, 2593761.992565136 614409.3864372888, 2594095.368240313 614453.0012767412, 2594232.343081546 614412.2696865483, 2594666.061039446 614330.6237434716, 2594793.500105199 614457.177303261, 2595608.775925892 614926.3234133956, 2595849.879356496 615131.8075321398, 2595887.453926265 615172.6737539594, 2595995.446667503 615240.5542279434, 2596080.413636387 615278.8072954006, 2596780.444897433 615603.4870852149, 2596920.882497467 615675.7164467545, 2596988.183616289 615709.9475488665, 2597230.108854691 615740.6900783365, 2597185.135961855 615495.7612077901, 2597179.77518492 615470.1574088339, 2597155.1377187 615378.5952348236, 2597117.137677256 615221.2039127938, 2597111.460584513 615210.1573928425, 2597070.028645203 615074.5380260226, 2597002.344251011 614785.4236097161, 2596964.421498139 614624.3929865962, 2596870.08629896 614199.9808199824, 2596638.811146306 613677.9291728189, 2596406.694482545 613330.6324544832, 2596530.707788551 613205.885933377, 2596427.782154031 613160.1722840769)",,,,,,,,,,,
18,"X3RH+94 Knoxville, Tennessee",1,"470930018002 - X3RH+94 Knoxville, Tennessee",2,2,470930018002,,,,,0.0,4.10589210593,0.0,2.36978768639,0.0,0.0,0.0,0.0,2929.95087677,"LINESTRING (2588214.631048672 613870.1714474701, 2588253.840135366 613824.8569242924, 2588476.558822024 614062.6536825981, 2588673.313963439 613578.9694130674, 2588136.343459515 613232.4923362904, 2587683.955415858 612942.4506042819, 2587691.58301814 612862.5110317714, 2587835.562570172 612632.5648765246, 2588025.852418475 612312.585101519, 2587993.788465962 612290.0523530464, 2587906.390155684 612226.2844237767, 2587856.815071319 612192.4541641225, 2586760.76574165 611560.9681058421, 2583896.475859797 609897.876771876, 2583765.006251872 609818.620523043, 2583765.568375879 609846.1731068154)",,,,,,,,,,,
19,"X4XF+C6 Knoxville, Tennessee",1,"470930019001 - X4XF+C6 Knoxville, Tennessee",1,2,470930019001,,,,,0.0,2.07761839901,0.0,1.16621970939,0.0,0.0,0.0,0.0,1438.73501439,"LINESTRING (2593544.982665621 612050.12294784, 2593601.343556641 611984.6140713439, 2593862.288040307 611684.4023592485, 2594043.291478234 611797.5452558418, 2594104.690126597 611831.6418663794, 2594177.68247298 611876.9122782436, 2594315.029922514 611956.3439282717, 2594452.376893547 612035.776035693, 2594627.697170053 612137.876575604, 2594922.458485575 612326.3073734576, 2595030.385532584 612397.8235006245, 2595269.818371338 612545.0088411807, 2595638.42637032 612738.6874969144, 2595907.505821842 612882.8794582409, 2596192.747860343 613100.2456437821, 2596276.694509724 613185.8108731452, 2596406.694482545 613330.6324544832, 2596530.707788551 613205.885933377, 2596427.782154031 613160.1722840769)",44,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930019001,4.0
