StoreID,customer_Title,customer_PlusCode,placekey,safegraph_place_id,latitude,longitude,visitor_home_cbgs_key,visitor_home_cbgs_value,TotalPop,Hispanic,White,Black,Asian,Hispanic_Frac,White_Frac,Black_Frac,Asian_Frac,census_block_group,PopulDetermPoverty_Under50,PopulDetermPoverty_50to99,PopulDetermPoverty,BelowPovertyLine_frac
100,Food City,"24PJ+H8 Knoxville, Tennessee",zzw-222@8g9-gv4-7bk,sg:35f88820e91f4e81a63d4a9895c113fc,36.036471,-83.869124,4.71E+11,4,1709,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
114,Whole Foods Market,"WXMM+6Q Knoxville, Tennessee",228-222@8g9-xqx-6ff,sg:cd9e3deb9513498b8091a4ec68b790e2,35.933085,-84.015477,4.71E+11,4,2171,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
125,New Market Grocery & Deli,"4C2W+G7 New Market, Tennessee",zzy-222@8g9-ggx-dvz,sg:9e09d9756de9455bbb04b897d60626e5,36.101326,-83.554519,4.71E+11,4,2849,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,22,1265,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
5,Taste of Europe,"QFG4+V6 Pigeon Forge, Tennessee",zzw-222@8g9-f8z-x89,sg:71ce019f6a6f462a9c2b72db33581d9b,35.777208,-83.544315,4.71E+11,4,1033,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,5,775,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
42,Price Less Foods,"4G99+Q5 Jefferson City, Tennessee",zzw-223@8g9-ghk-8d9,sg:40f71d404a824fbfbdb34f08f95fe725,36.119345,-83.482048,4.71E+11,4,2287,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,15,3990,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,4,4123,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
104,Walmart Neighborhood Market,"XXGQ+HH Knoxville, Tennessee",222-222@8g9-xqv-pd9,sg:89c3e565fcaa4da1b2c2008f8252c4a6,35.976411,-84.0112,4.71E+11,4,1304,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
114,Whole Foods Market,"WXMM+6Q Knoxville, Tennessee",228-222@8g9-xqx-6ff,sg:cd9e3deb9513498b8091a4ec68b790e2,35.933085,-84.015477,4.71E+11,4,787,0,1458,70,0,0,0.891198044,0.042787286,0,4.71E+11,150,121,1636,0.165647922
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,18,960,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
2,Kroger,"X3VH+69 Knoxville, Tennessee",222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,4.71E+11,4,1727,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
11,Target Grocery,"VRXX+X7 Knoxville, Tennessee",zzw-222@8g9-mbq-r49,sg:b5d075cfdc4348abb3b195bc8238cd56,35.900407,-84.15168,4.71E+11,4,936,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,23,1751,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
42,Price Less Foods,"4G99+Q5 Jefferson City, Tennessee",zzw-223@8g9-ghk-8d9,sg:40f71d404a824fbfbdb34f08f95fe725,36.119345,-83.482048,4.71E+11,5,1336,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,7,1151,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
57,Target Grocery,"WXC2+HQ Knoxville, Tennessee",222-223@8g9-m9p-q4v,sg:08c8687602b4424db446d20428e97dc0,35.921766,-84.047911,4.71E+11,5,1558,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,25,3407,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
83,Food City,"VF72+93 Sevierville, Tennessee",zzw-223@8g9-ffc-9cq,sg:34a352b8750244d0ba8ccd3eec1eaecf,35.863179,-83.549947,4.71E+11,5,1034,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
114,Whole Foods Market,"WXMM+6Q Knoxville, Tennessee",228-222@8g9-xqx-6ff,sg:cd9e3deb9513498b8091a4ec68b790e2,35.933085,-84.015477,4.71E+11,4,861,0,1382,0,29,0,0.979447201,0,0.020552799,4.71E+11,127,0,1411,0.090007087
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,16,1236,111,1566,156,0,0.058115183,0.819895288,0.081675393,0,4.71E+11,73,174,1305,0.189272031
11,Target Grocery,"VRXX+X7 Knoxville, Tennessee",zzw-222@8g9-mbq-r49,sg:b5d075cfdc4348abb3b195bc8238cd56,35.900407,-84.15168,4.71E+11,4,649,111,1566,156,0,0.058115183,0.819895288,0.081675393,0,4.71E+11,73,174,1305,0.189272031
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,4,1935,111,1566,156,0,0.058115183,0.819895288,0.081675393,0,4.71E+11,73,174,1305,0.189272031
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,4,2419,111,1566,156,0,0.058115183,0.819895288,0.081675393,0,4.71E+11,73,174,1305,0.189272031
65,Walmart Grocery Pickup,"W564+JF Knoxville, Tennessee",222-225@8g9-mj8-s89,sg:0aa89a4868b54511a061fb0bfccc8dfc,35.911584,-83.843819,4.71E+11,4,1836,111,1566,156,0,0.058115183,0.819895288,0.081675393,0,4.71E+11,73,174,1305,0.189272031
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,4,2318,111,1566,156,0,0.058115183,0.819895288,0.081675393,0,4.71E+11,73,174,1305,0.189272031
125,New Market Grocery & Deli,"4C2W+G7 New Market, Tennessee",zzy-222@8g9-ggx-dvz,sg:9e09d9756de9455bbb04b897d60626e5,36.101326,-83.554519,4.71E+11,4,2354,111,1566,156,0,0.058115183,0.819895288,0.081675393,0,4.71E+11,73,174,1305,0.189272031
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,14,2364,48,1448,51,0,0.030947776,0.933591231,0.032882012,0,4.71E+11,66,140,1544,0.133419689
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,9,1766,48,1448,51,0,0.030947776,0.933591231,0.032882012,0,4.71E+11,66,140,1544,0.133419689
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,4,1399,48,1448,51,0,0.030947776,0.933591231,0.032882012,0,4.71E+11,66,140,1544,0.133419689
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,11,772,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
2,Kroger,"X3VH+69 Knoxville, Tennessee",222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,4.71E+11,4,2205,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
6,ALDI,"VCGG+MM Sevierville, Tennessee",22c-222@8g9-ff7-nkf,sg:748665854fd9444fb8eb07a6a506056a,35.87666,-83.573365,4.71E+11,4,0,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
11,Target Grocery,"VRXX+X7 Knoxville, Tennessee",zzw-222@8g9-mbq-r49,sg:b5d075cfdc4348abb3b195bc8238cd56,35.900407,-84.15168,4.71E+11,4,1822,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
33,Food City,"W536+GW Knoxville, Tennessee",223-224@8g9-mj4-4gk,sg:5f3cc37c1f91454aaee0c1efd505774d,35.903864,-83.837557,4.71E+11,4,1970,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,10,0,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
42,Price Less Foods,"4G99+Q5 Jefferson City, Tennessee",zzw-223@8g9-ghk-8d9,sg:40f71d404a824fbfbdb34f08f95fe725,36.119345,-83.482048,4.71E+11,6,901,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,35,1894,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
56,Food City,"47MP+W4 Blaine, Tennessee",222-222@8g9-g88-c3q,sg:11982fd159bb4e42993e22bc8cc928df,36.134503,-83.714827,4.71E+11,4,3053,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,6,2171,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
97,Walmart Supercenter,"WWGP+FW Knoxville, Tennessee",222-222@8g9-m9r-q75,sg:d447efccc2824421aa4615463b58df40,35.926442,-84.062571,4.71E+11,4,497,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
124,Kroger Grocery Pickup and Delivery,"WW76+C9 Knoxville, Tennessee",zzw-222@8g9-m96-68v,sg:6a4ce399508342bf9690543dac6a4bae,35.913714,-84.089227,4.71E+11,4,4028,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
125,New Market Grocery & Deli,"4C2W+G7 New Market, Tennessee",zzy-222@8g9-ggx-dvz,sg:9e09d9756de9455bbb04b897d60626e5,36.101326,-83.554519,4.71E+11,4,849,28,1775,2,0,0.015300546,0.969945355,0.001092896,0,4.71E+11,92,27,1830,0.065027322
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,11,729,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
5,Taste of Europe,"QFG4+V6 Pigeon Forge, Tennessee",zzw-222@8g9-f8z-x89,sg:71ce019f6a6f462a9c2b72db33581d9b,35.777208,-83.544315,4.71E+11,4,1992,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
6,ALDI,"VCGG+MM Sevierville, Tennessee",22c-222@8g9-ff7-nkf,sg:748665854fd9444fb8eb07a6a506056a,35.87666,-83.573365,4.71E+11,6,452,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
23,Price Less Foods,"27QH+4X Strawberry Plains, Tennessee",224-222@8g9-g9n-rrk,sg:7d74c5c28f5448e9b0fa086b8b66a829,36.037714,-83.720111,4.71E+11,4,791,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,9,492,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
42,Price Less Foods,"4G99+Q5 Jefferson City, Tennessee",zzw-223@8g9-ghk-8d9,sg:40f71d404a824fbfbdb34f08f95fe725,36.119345,-83.482048,4.71E+11,5,2572,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,17,2887,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
56,Food City,"47MP+W4 Blaine, Tennessee",222-222@8g9-g88-c3q,sg:11982fd159bb4e42993e22bc8cc928df,36.134503,-83.714827,4.71E+11,4,1816,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
65,Walmart Grocery Pickup,"W564+JF Knoxville, Tennessee",222-225@8g9-mj8-s89,sg:0aa89a4868b54511a061fb0bfccc8dfc,35.911584,-83.843819,4.71E+11,5,2246,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,26,1829,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
122,Walmart Supercenter,"RPCP+R5 Lenoir City, Tennessee",zzw-222@8g8-ytq-kcq,sg:5acb31613ec341fe9d6e344b911e8065,35.822019,-84.264578,4.71E+11,4,1192,0,2011,0,0,0,1,0,0,4.71E+11,140,403,1957,0.277465508
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,10,2303,54,1451,0,0,0.034571063,0.92893726,0,0,4.71E+11,152,23,1528,0.114528796
11,Target Grocery,"VRXX+X7 Knoxville, Tennessee",zzw-222@8g9-mbq-r49,sg:b5d075cfdc4348abb3b195bc8238cd56,35.900407,-84.15168,4.71E+11,4,1400,54,1451,0,0,0.034571063,0.92893726,0,0,4.71E+11,152,23,1528,0.114528796
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,14,2400,54,1451,0,0,0.034571063,0.92893726,0,0,4.71E+11,152,23,1528,0.114528796
124,Kroger Grocery Pickup and Delivery,"WW76+C9 Knoxville, Tennessee",zzw-222@8g9-m96-68v,sg:6a4ce399508342bf9690543dac6a4bae,35.913714,-84.089227,4.71E+11,4,2323,54,1451,0,0,0.034571063,0.92893726,0,0,4.71E+11,152,23,1528,0.114528796
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,10,978,26,1232,73,44,0.018909091,0.896,0.053090909,0.032,4.71E+11,115,109,1360,0.164705882
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,4,140,26,1232,73,44,0.018909091,0.896,0.053090909,0.032,4.71E+11,115,109,1360,0.164705882
57,Target Grocery,"WXC2+HQ Knoxville, Tennessee",222-223@8g9-m9p-q4v,sg:08c8687602b4424db446d20428e97dc0,35.921766,-84.047911,4.71E+11,4,703,26,1232,73,44,0.018909091,0.896,0.053090909,0.032,4.71E+11,115,109,1360,0.164705882
59,Gordon Food Service Store,"WW65+22 Knoxville, Tennessee",222-222@8g9-m95-kfz,sg:691bef878b834fcc9129b8aeebd57a5e,35.910077,-84.092382,4.71E+11,4,3347,26,1232,73,44,0.018909091,0.896,0.053090909,0.032,4.71E+11,115,109,1360,0.164705882
81,Copper Cellar Marketplace,"WV6V+M2 Knoxville, Tennessee",zzw-222@8g9-mhn-zmk,sg:bbabc9705cbd44669a7d4c1068cb73d4,35.956155,-83.93433,4.71E+11,4,1094,26,1232,73,44,0.018909091,0.896,0.053090909,0.032,4.71E+11,115,109,1360,0.164705882
103,Food City,"VGJQ+PQ Sevierville, Tennessee",zzw-223@8g9-fmt-dgk,sg:620a5b7da84c40d680491f453123e08a,35.881926,-83.46054,4.71E+11,4,1891,26,1232,73,44,0.018909091,0.896,0.053090909,0.032,4.71E+11,115,109,1360,0.164705882
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,9,553,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
6,ALDI,"VCGG+MM Sevierville, Tennessee",22c-222@8g9-ff7-nkf,sg:748665854fd9444fb8eb07a6a506056a,35.87666,-83.573365,4.71E+11,4,492,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,4,2043,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,4,1366,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
57,Target Grocery,"WXC2+HQ Knoxville, Tennessee",222-223@8g9-m9p-q4v,sg:08c8687602b4424db446d20428e97dc0,35.921766,-84.047911,4.71E+11,4,1149,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
65,Walmart Grocery Pickup,"W564+JF Knoxville, Tennessee",222-225@8g9-mj8-s89,sg:0aa89a4868b54511a061fb0bfccc8dfc,35.911584,-83.843819,4.71E+11,4,1660,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
83,Food City,"VF72+93 Sevierville, Tennessee",zzw-223@8g9-ffc-9cq,sg:34a352b8750244d0ba8ccd3eec1eaecf,35.863179,-83.549947,4.71E+11,4,1124,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
103,Food City,"VGJQ+PQ Sevierville, Tennessee",zzw-223@8g9-fmt-dgk,sg:620a5b7da84c40d680491f453123e08a,35.881926,-83.46054,4.71E+11,11,1336,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
124,Kroger Grocery Pickup and Delivery,"WW76+C9 Knoxville, Tennessee",zzw-222@8g9-m96-68v,sg:6a4ce399508342bf9690543dac6a4bae,35.913714,-84.089227,4.71E+11,4,1527,11,1821,6,0,0.005984766,0.990750816,0.003264418,0,4.71E+11,142,118,1838,0.141458107
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,7,1947,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
6,ALDI,"VCGG+MM Sevierville, Tennessee",22c-222@8g9-ff7-nkf,sg:748665854fd9444fb8eb07a6a506056a,35.87666,-83.573365,4.71E+11,4,967,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
11,Target Grocery,"VRXX+X7 Knoxville, Tennessee",zzw-222@8g9-mbq-r49,sg:b5d075cfdc4348abb3b195bc8238cd56,35.900407,-84.15168,4.71E+11,4,2215,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
35,The Fresh Market,"W2RC+PJ Knoxville, Tennessee",22h-222@8g9-mkj-2zf,sg:a2d5d7505a6348e0a9f46b85b6e82f73,35.941898,-83.978421,4.71E+11,4,1196,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,16,1245,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
42,Price Less Foods,"4G99+Q5 Jefferson City, Tennessee",zzw-223@8g9-ghk-8d9,sg:40f71d404a824fbfbdb34f08f95fe725,36.119345,-83.482048,4.71E+11,4,1186,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,6,3214,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,34,2120,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
83,Food City,"VF72+93 Sevierville, Tennessee",zzw-223@8g9-ffc-9cq,sg:34a352b8750244d0ba8ccd3eec1eaecf,35.863179,-83.549947,4.71E+11,9,1067,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
96,Tienda El Mariachi Loco,"4G98+FH Jefferson City, Tennessee",223-222@8g9-ghk-8qf,sg:a26d3ebf7de949879a11a1e6a9f24124,36.118755,-83.48364,4.71E+11,5,1793,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
97,Walmart Supercenter,"WWGP+FW Knoxville, Tennessee",222-222@8g9-m9r-q75,sg:d447efccc2824421aa4615463b58df40,35.926442,-84.062571,4.71E+11,4,887,87,1706,0,0,0.04852203,0.95147797,0,0,4.71E+11,24,248,1793,0.15170106
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.72E+11,6,7250,231,3774,68,33,0.055197133,0.901792115,0.016248507,0.007885305,4.72E+11,37,393,4185,0.102747909
4,Dollar General,"V3Q7+MM Knoxville, Tennessee",223-223@8g9-mhh-zs5,sg:e2c15c70b1a34dcdae5f2b43c2b84ad8,35.889214,-83.935744,4.72E+11,4,924,231,3774,68,33,0.055197133,0.901792115,0.016248507,0.007885305,4.72E+11,37,393,4185,0.102747909
